ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
ISG,ING Groep N.V. PERP DBT 6.125,,,,,,,,,,
AZSEY,Allianz SE,0.82,0.4842171919491995,-0.4824355971896956,0.04127607409623081,0.0,0.03994466942422964,381.903066645545,365.702066645545,850.8458775867127,23.57
NEE-PR,"NextEra Energy, Inc.",0.25,-0.030220839718146455,-0.4824355971896956,0.019309570144035147,0.0,0.014322695179255785,940.2674919323134,911.4074919323134,1906.9496002266255,65.52
MMM,3M Company,1.22,0.38133713347167897,-0.4824355971896956,0.03688309559924069,0.0,0.023314158401799488,565.2061533127944,553.8721533127945,960.8662861280545,171.86
PBR,Petróleo Brasileiro S.A. - Petrobras,0.24,-0.09998535006031163,-0.4824355971896956,0.016330625552424694,0.0,0.01041015627148143,20919.291597260024,20646.984597260023,1583.3577145138056,15.79
AMT,American Tower Corporation (REIT),0.11,-0.32338573440384155,-0.4824355971896956,0.006791429140955967,0.0,0.0030048366585198657,5909.688734766897,5889.737534766898,13324.595119602953,214.39
HDB,HDFC Bank Limited,0.19,-0.08016974482717674,-0.4824355971896956,0.017176751895879555,0.0,0.015081048885668098,447594.1708821851,446441.29823318514,171708.1916281481,126.16
SIEGY,Siemens Aktiengesellschaft,0.91,0.5058676826617003,-0.4824355971896956,0.0422005500496546,0.0,0.03399071047083363,421.9412010199465,400.9392010199465,494.9561150792501,59.15
MO,"Altria Group, Inc.",0.35,0.026495661576340368,-0.4824355971896956,0.021731364749309735,0.0,0.01708418516364369,978.4234107177668,966.7144107177669,516.9595779239395,50.12
NVDA,NVIDIA Corporation,2.5,2.0707705686589017,-0.4824355971896956,0.10902190328173508,0.0,0.09271618979060588,63.0526416476422,61.846641647642194,101.5544197826637,152.88
CHDRY,Christian Dior SE,0.96,0.6214052690877991,-0.4824355971896956,0.04713400499004902,0.0,0.0434466570824919,464.85993396641993,465.61593396641996,2585.4624574735963,127.85
GS-PK,"The Goldman Sachs Group, Inc.",0.11,-0.28900819655762083,-0.4824355971896956,0.008259350006989592,0.0,0.006167229409670294,108.47448883697946,-24.481511163020553,0.0,27.88
MS-PK,Morgan Stanley,1.32,0.1710365233901668,-0.4824355971896956,0.02790325954876012,0.0,0.022511996382027246,-147.9421194266789,-312.9481194266789,0.0,27.17
CTA-PB,E. I. du Pont de Nemours and Company,,,,,,,,,,
GE,General Electric Company,0.9,-0.07926264674092541,-0.4824355971896956,0.017215484984162484,0.0,0.011911875497567146,1239.0709323237033,1160.2059323237033,133.0511390279476,10.42
SFTBY,SoftBank Group Corp.,2.11,0.662120825814588,-0.4824355971896956,0.0488725592622829,0.0,0.03234884518474932,153313.86006998617,142028.4510699862,130301.33125686806,47.3
IDEXY,"Industria de Diseño Textil, S.A.",1.14,1.14,-0.4824355971896956,0.06927799999999999,0.0,0.06927799999999999,142.29416737475742,147.0781673747574,47.29201523304097,13.9
UPS,"United Parcel Service, Inc.",1.39,-0.1400406802109481,-0.4824355971896956,0.014620262954992518,0.0,0.008897384113564904,1800.5496707413313,1785.1936707413313,2559.307371355112,102.15
QCOM,QUALCOMM Incorporated,1.59,-0.30231450703681195,-0.4824355971896956,0.007691170549528132,0.0,0.004075713305035085,2079.51345531719,2075.92545531719,1701.5782420632706,71.96
GILD,"Gilead Sciences, Inc.",1.14,0.4237258165731373,-0.4824355971896956,0.03869309236767296,0.0,0.023760323591179904,467.4510689256867,458.0690689256867,360.68430624069816,68.2
NPPXF,Nippon Telegraph and Telephone Corporation,0.29,0.14913164979320132,-0.4824355971896956,0.026967921446169697,0.0,0.02350223541132346,230185.29248678978,228266.2454867898,117059.61307014861,46.45
BTAFF,British American Tobacco p.l.c.,0.91,0.4317561735157923,-0.4824355971896956,0.03903598860912433,0.0,0.02749206766341446,1934.191361265602,1890.1083612656018,828.9948952919307,35.91
SMGBY,San Miguel Corporation,1.28,0.26101127799544543,-0.4824355971896956,0.03174518157040552,0.0,0.021097388088106406,19941.613023353373,19566.696023353375,8186.902101821495,35.45
ASMLF,ASML Holding N.V.,1.56,1.1691711070640547,-0.4824355971896956,0.07052360627163512,0.0,0.05948394715382413,124.31903545060776,124.24163545060776,292.8155443097048,189.4
SNPMF,China Petroleum & Chemical Corporation,1.56,1.3785033537958014,-0.4824355971896956,0.07946209320708071,0.0,0.07479474795014636,7050.296042471821,7052.256042471821,58.24940978336352,0.66
USB-PH,U.S. Bancorp,,,,,,,,,,
VLKAF,Volkswagen AG,,,,,,,,,,
DTEGY,Deutsche Telekom AG,,,,,,,,,,
BKNG,Booking Holdings Inc.,,,,,,,,,,
BMY,Bristol-Myers Squibb Company,,,,,,,,,,
MDLZ,"Mondelez International, Inc.",,,,,,,,,,
SBRCY,Sberbank of Russia,,,,,,,,,,
OGZPY,Public Joint Stock Company Gazprom,,,,,,,,,,
LOW,"Lowe's Companies, Inc.",,,,,,,,,,
BCDRF,"Banco Santander, S.A.",,,,,,,,,,
UBER,"Uber Technologies, Inc.",,,,,,,,,,
HESAF,Hermès International Société en commandite par actions,,,,,,,,,,
ANTM,"Anthem, Inc.",,,,,,,,,,
SYK,Stryker Corporation,,,,,,,,,,
CAT,Caterpillar Inc.,,,,,,,,,,
DCMYY,"NTT DOCOMO, INC.",,,,,,,,,,
UVRBY,Universal Robina Corporation,,,,,,,,,,
ADP,"Automatic Data Processing, Inc.",,,,,,,,,,
ABEV,Ambev S.A.,,,,,,,,,,
PPRUY,Kering SA,,,,,,,,,,
CEO,CNOOC Limited,,,,,,,,,,
CMXHF,CSL Limited,,,,,,,,,,
FMCCT,Freddie Mac,,,,,,,,,,
CVS,CVS Health Corporation,,,,,,,,,,
VMW,"VMware, Inc.",,,,,,,,,,
ENB,Enbridge Inc.,,,,,,,,,,
ENLAY,Enel SpA,,,,,,,,,,
RTNTF,Rio Tinto Group,,,,,,,,,,
BLK,"BlackRock, Inc.",,,,,,,,,,
CME,CME Group Inc.,,,,,,,,,,
WBK,Westpac Banking Corporation,,,,,,,,,,
CELG,Celgene Corporation,,,,,,,,,,
KYCCF,Keyence Corporation,,,,,,,,,,
CB,Chubb Limited,,,,,,,,,,
VALE,Vale S.A.,,,,,,,,,,
SMFG,"Sumitomo Mitsui Financial Group, Inc.",,,,,,,,,,
MET-PA,"MetLife, Inc.",,,,,,,,,,
MKKGY,MERCK Kommanditgesellschaft auf Aktien,,,,,,,,,,
AON,Aon plc,,,,,,,,,,
TRP,TC Energy Corporation,,,,,,,,,,
BAM,Brookfield Asset Management Inc.,,,,,,,,,,
INFY,Infosys Limited,,,,,,,,,,
LVS,Las Vegas Sands Corp.,,,,,,,,,,
MPNGF,Meituan Dianping,,,,,,,,,,
BIIB,Biogen Inc.,,,,,,,,,,
MAR,"Marriott International, Inc.",,,,,,,,,,
AEP,"American Electric Power Company, Inc.",,,,,,,,,,
INGVF,ING Groep N.V.,,,,,,,,,,
HCA,"HCA Healthcare, Inc.",,,,,,,,,,
NTDOY,"Nintendo Co., Ltd.",,,,,,,,,,
TGT,Target Corporation,,,,,,,,,,
UBS,UBS Group AG,,,,,,,,,,
HNDAF,"Honda Motor Co., Ltd.",,,,,,,,,,
VOD,Vodafone Group Plc,,,,,,,,,,
HKXCY,Hong Kong Exchanges and Clearing Limited,,,,,,,,,,
FDX,FedEx Corporation,,,,,,,,,,
COF-PG,Capital One Financial Corporation,,,,,,,,,,
EQIX,"Equinix, Inc. (REIT)",,,,,,,,,,
KDP,Keurig Dr Pepper Inc.,,,,,,,,,,
PCHUY,PTT Public Company Limited,,,,,,,,,,
SHW,The Sherwin-Williams Company,,,,,,,,,,
TEF,"Telefónica, S.A.",,,,,,,,,,
BSBR,Banco Santander (Brasil) S.A.,,,,,,,,,,
SMMNY,Siemens Healthineers AG,,,,,,,,,,
PSA,Public Storage,,,,,,,,,,
AGN,Allergan plc,,,,,,,,,,
