ticker,name,beta_equity,beta_asset,beta_debt,re,rd,wacc,"enterprise_value, $B","equity_value, $B",stock_price,mkt_stock_price
MSFT,Microsoft Corporation,1.05,0.43107292623845506,-0.4824355971896956,0.039006813950382024,0.0,0.02728132179483427,2596.67416522169,2525.41316522169,329.68840277045564,135.16
AMZN,"Amazon.com, Inc.",1.73,1.1001904090596182,-0.4824355971896956,0.06757813046684569,0.0,0.05781626327316031,2353.901302201804,2360.7853022018035,4795.127865865992,1901.37
AAPL,Apple Inc.,1.03,0.4277895847874466,-0.4824355971896956,0.03886661527042397,0.0,0.028905135518224392,5115.888477795432,5039.282477795432,1095.496190825094,198.45
GOOGL,Alphabet Inc.,1.18,1.152762370545262,-0.4824355971896956,0.06982295322228269,0.0,0.06863820174788486,890.1360516451716,902.8870516451716,3015.2519758388044,1105.24
EC,Ecopetrol S.A.,1.58,0.976785177816678,-0.4824355971896956,0.062308727092772145,0.0,0.04529092464504076,1374895.6051832968,1343144.7041832968,32664.024907181345,17.67
MGAWY,Megaworld Corporation,0.25,0.07800579721813869,-0.4824355971896956,0.023930847541214523,0.0,0.01914346866080598,1432.1524534550088,1372.9465043400087,42.585189340570984,22.7
FB,"Facebook, Inc.",1.33,1.33,-0.4824355971896956,0.07739099999999999,0.0,0.07739099999999999,1229.908056763712,1239.927056763712,516.6362736515466,188.47
HSBC-PA,HSBC Holdings plc ADR A 1/40PF A,,,,,,,,,,
BRK-A,Berkshire Hathaway Inc.,0.89,0.667778060336816,-0.4824355971896956,0.049114123176382044,0.0,0.04319664691035618,569.0921593912834,506.3361593912834,700220.1039831884,308885.0
BABA,Alibaba Group Holding Limited,1.85,1.5195617164706379,-0.4824355971896956,0.08548528529329624,0.0,0.07557916246411958,10469.471312169308,10532.503312169307,4050.9628123728107,165.51
TCEHY,Tencent Holdings Limited,1.28,0.8286967220893816,-0.4824355971896956,0.05598535003321659,0.0,0.04525017090661445,22106.314375907757,22045.238375907757,2332.8294577680167,43.83
V,Visa Inc.,0.86,0.45976931051610154,-0.4824355971896956,0.04023214955903753,0.0,0.030567134793175573,1069.1710982170216,1060.7030982170215,609.5994817339205,169.28
JNJ,Johnson & Johnson,0.73,0.44284528964820385,-0.4824355971896956,0.03950949386797831,0.0,0.032357674649633475,1482.403051533924,1470.1870515339242,552.7018990729038,140.23
JPM,JPMorgan Chase & Co.,1.22,0.4231066508334502,-0.4824355971896956,0.03866665399058832,0.0,0.03467534562835282,5664.718901014902,5599.694901014902,1728.3008953749697,110.71
SAN-PB,"Banco Santander, S.A. GTD PFD SECS 6",,,,,,,,,,
BAC-PK,Bank of America Corporation,1.55,0.8134646176736733,-0.4824355971896956,0.055334939174665844,0.0,0.05083753456505545,2704.6356131031594,2631.8216131031595,268.2794712643384,26.65
XOM,Exxon Mobil Corporation,1.12,1.0023610239331504,-0.4824355971896956,0.06340081572194552,0.0,0.05987820225901809,1356.546239919816,1336.2832399198157,315.9062032907366,75.74
WMT,Walmart Inc.,0.62,0.27110427261272513,-0.4824355971896956,0.03217615244056336,0.0,0.02572786338947748,2240.0783817536144,2201.9763817536145,772.6232918433735,109.65
NSRGF,Nestlé S.A.,0.46,0.22093813808667154,-0.4824355971896956,0.030034058496300874,0.0,0.024400549002048914,1237.3048722833764,1210.2858722833764,395.5182589161361,101.86
WFC-PL,Wells Fargo & Company,,,,,,,,,,
RDS-B,Royal Dutch Shell plc,,,,,,,,,,
PG,The Procter & Gamble Company,,,,,,,,,,
MA,Mastercard Incorporated,,,,,,,,,,
IDCBY,Industrial and Commercial Bank of China Limited,,,,,,,,,,
DIS,The Walt Disney Company,,,,,,,,,,
CICHF,China Construction Bank Corporation,,,,,,,,,,
RHHBY,Roche Holding AG,,,,,,,,,,
PFE,Pfizer Inc.,,,,,,,,,,
CSCO,"Cisco Systems, Inc.",,,,,,,,,,
VZ,Verizon Communications Inc.,,,,,,,,,,
UNH,UnitedHealth Group Incorporated,,,,,,,,,,
T,AT&T Inc.,,,,,,,,,,
CVX,Chevron Corporation,,,,,,,,,,
PNGAY,"Ping An Insurance (Group) Company of China, Ltd.",,,,,,,,,,
HD,"The Home Depot, Inc.",,,,,,,,,,
MRK,"Merck & Co., Inc.",,,,,,,,,,
KO,The Coca-Cola Company,,,,,,,,,,
